circle.ga.monodirectional	circle.ga.worm	circle.ga.dog.shape	circle.me.monodirectional	circle.me.worm	circle.me.dog.shape	circle.pso.monodirectional	circle.pso.worm	circle.pso.dog.shape	circle.es.monodirectional	circle.es.worm	circle.es.dog.shape	dog.ga.monodirectional	dog.ga.worm	dog.ga.dog.shape	dog.me.monodirectional	dog.me.worm	dog.me.dog.shape	dog.pso.monodirectional	dog.pso.worm	dog.pso.dog.shape	dog.es.monodirectional	dog.es.worm	dog.es.dog.shape
4.583e-01	4.722e-01	5.208e-01	5.139e-01	5.417e-01	5.417e-01	4.722e-01	5.972e-01	6.111e-01	4.861e-01	4.931e-01	5.694e-01	6.047e-01	8.488e-01	1.395e-01	6.395e-01	8.837e-01	8.511e-02	5.098e-01	8.837e-01	1.977e-01	7.209e-01	8.605e-01	3.700e-01
4.444e-01	4.722e-01	5.625e-01	4.444e-01	5.556e-01	5.556e-01	4.444e-01	6.250e-01	5.625e-01	5.000e-01	4.861e-01	5.625e-01	6.563e-01	8.488e-01	1.395e-01	6.279e-01	8.837e-01	1.860e-01	5.233e-01	8.953e-01	5.233e-01	6.279e-01	1.012e+00	3.953e-01
3.611e-01	4.861e-01	5.278e-01	4.861e-01	5.625e-01	5.347e-01	4.028e-01	6.042e-01	5.833e-01	4.306e-01	4.861e-01	5.625e-01	5.814e-01	8.488e-01	1.395e-01	6.395e-01	8.488e-01	1.489e-01	6.163e-01	9.070e-01	1.827e-01	6.512e-01	8.721e-01	3.953e-01
4.444e-01	4.722e-01	5.208e-01	5.556e-01	5.833e-01	5.208e-01	3.750e-01	6.042e-01	5.486e-01	5.556e-01	6.597e-01	6.111e-01	5.814e-01	8.488e-01	1.512e-01	6.163e-01	8.837e-01	1.000e-01	6.977e-01	8.953e-01	4.063e-01	6.047e-01	8.605e-01	4.070e-01
4.583e-01	5.000e-01	5.278e-01	5.000e-01	5.278e-01	5.486e-01	4.306e-01	6.528e-01	5.417e-01	5.694e-01	5.139e-01	5.417e-01	6.047e-01	8.488e-01	2.442e-01	5.930e-01	8.837e-01	1.395e-01	5.233e-01	8.837e-01	2.093e-01	5.581e-01	8.837e-01	4.444e-02
3.889e-01	4.792e-01	5.347e-01	5.000e-01	6.597e-01	5.208e-01	3.056e-01	7.431e-01	5.972e-01	6.111e-01	4.931e-01	5.347e-01	6.047e-01	8.488e-01	1.395e-01	6.279e-01	8.721e-01	8.889e-02	6.163e-01	8.837e-01	2.500e-01	6.279e-01	8.837e-01	3.438e-01
3.889e-01	4.722e-01	5.486e-01	5.556e-01	6.250e-01	5.278e-01	4.028e-01	5.556e-01	5.833e-01	5.833e-01	4.861e-01	5.764e-01	5.581e-01	8.488e-01	1.395e-01	6.279e-01	8.488e-01	4.444e-02	5.851e-01	9.419e-01	3.721e-01	6.628e-01	8.721e-01	3.953e-01
4.444e-01	5.000e-01	5.278e-01	4.861e-01	5.417e-01	5.347e-01	4.444e-01	6.736e-01	5.833e-01	6.111e-01	4.722e-01	5.972e-01	6.279e-01	8.721e-01	1.512e-01	6.628e-01	8.837e-01	8.511e-02	6.047e-01	8.837e-01	2.093e-01	6.628e-01	8.721e-01	2.130e-01
4.306e-01	5.000e-01	5.278e-01	5.000e-01	5.833e-01	5.556e-01	3.056e-01	5.764e-01	5.556e-01	6.528e-01	4.722e-01	6.111e-01	5.581e-01	8.488e-01	1.000e-01	6.279e-01	8.605e-01	4.444e-02	6.633e-01	8.953e-01	2.447e-01	5.233e-01	8.837e-01	3.438e-01
4.444e-01	4.931e-01	5.208e-01	5.000e-01	5.417e-01	5.278e-01	4.444e-01	7.153e-01	5.347e-01	5.000e-01	4.931e-01	5.625e-01	5.930e-01	8.721e-01	4.444e-02	6.860e-01	8.721e-01	1.395e-01	6.279e-01	8.605e-01	1.977e-01	6.744e-01	8.605e-01	2.813e-01
