x	y	progress.rate.q.0.05.0.00.quality	progress.rate.q.0.05.0.10.quality	progress.rate.q.0.05.0.25.quality	progress.rate.q.0.05.0.50.quality	progress.rate.q.0.05.1.00.quality
0	0	nan	nan	nan	nan	nan
0	1	nan	nan	nan	nan	nan
0	2	nan	nan	nan	nan	nan
0	3	nan	nan	nan	nan	nan
0	4	nan	nan	nan	nan	nan
0	5	nan	nan	nan	nan	nan
0	6	nan	nan	nan	nan	nan
0	7	nan	nan	nan	nan	nan
0	8	nan	nan	nan	nan	nan
0	9	nan	nan	nan	nan	nan
1	0	nan	nan	nan	nan	nan
1	1	nan	nan	nan	nan	nan
1	2	nan	nan	nan	nan	nan
1	3	nan	nan	nan	nan	nan
1	4	nan	nan	nan	nan	nan
1	5	nan	nan	nan	nan	nan
1	6	nan	nan	nan	nan	nan
1	7	nan	nan	nan	nan	nan
1	8	nan	nan	nan	nan	nan
1	9	nan	nan	nan	nan	nan
2	0	nan	nan	nan	nan	nan
2	1	nan	nan	nan	nan	nan
2	2	nan	nan	nan	nan	nan
2	3	nan	nan	1.176e+00	1.176e+00	1.176e+00
2	4	nan	nan	nan	1.164e+00	1.164e+00
2	5	nan	nan	1.064e+00	7.093e-01	7.093e-01
2	6	nan	nan	nan	nan	nan
2	7	nan	nan	nan	nan	nan
2	8	nan	nan	nan	nan	nan
2	9	nan	nan	nan	nan	nan
3	0	nan	nan	nan	nan	nan
3	1	nan	nan	nan	9.255e-01	9.255e-01
3	2	nan	nan	9.787e-01	9.778e-01	9.778e-01
3	3	nan	1.184e+00	1.184e+00	1.184e+00	1.184e+00
3	4	nan	1.184e+00	7.449e-01	7.041e-01	7.041e-01
3	5	nan	nan	7.171e-01	5.556e-01	5.349e-01
3	6	nan	7.879e-01	7.581e-01	4.100e-01	3.854e-01
3	7	nan	9.186e-01	9.186e-01	9.186e-01	4.357e-01
3	8	nan	nan	nan	nan	nan
3	9	nan	nan	nan	nan	nan
4	0	nan	nan	8.469e-01	8.469e-01	8.469e-01
4	1	nan	nan	1.236e+00	1.117e+00	8.469e-01
4	2	nan	6.977e-01	3.488e-01	3.023e-01	3.023e-01
4	3	nan	4.302e-01	3.837e-01	3.837e-01	3.837e-01
4	4	nan	6.837e-01	5.667e-01	2.558e-01	2.442e-01
4	5	3.372e-01	3.372e-01	3.372e-01	3.372e-01	1.512e-01
4	6	nan	5.000e-01	4.658e-01	4.457e-01	4.457e-01
4	7	nan	7.045e-01	6.121e-01	5.156e-01	3.824e-01
4	8	nan	8.186e-01	8.186e-01	7.428e-01	7.079e-01
4	9	nan	nan	nan	nan	9.350e-01
