problem.name;solver.name;randomGenerator.seed;problem.target;solver.mapper.grammar.name;state→n.iterations;individual→solution→grid.compactness;individual→solution→grid.elongation;individual→bin[solution→grid.compactness];individual→bin[solution→grid.elongation];"individual→solution→grid.h→[f.gridFitW(), f.gridFitH(), f.gridString(byRows = true; elementF = f.toString(); yMirror = true)]"
shape-dog;me;1;dog;monodirectional;200;8.50000e-01;3.84615e-01;7;0;"{10;9}{a;;;;;;;;;;a;a;;;;;;;;;a;a;;;;;;;;;a;a;;;;;;;;;a;a;;;;;a;;;;a;;;;a;a;a;a;;;a;a;;a;a;a;a;;a;;a;a;a;a;a;a;a;a;a;a;a;a;;;;;;;;}"
shape-dog;me;1;dog;monodirectional;200;8.43750e-01;2.50000e-01;6;0;"{7;6}{a;a;;;a;a;a;a;a;;;a;a;a;a;a;;a;a;;;a;a;a;a;a;a;a;a;a;a;a;a;;;a;;;;;;}"
shape-dog;me;1;dog;monodirectional;200;8.62069e-01;1.42857e-01;7;0;"{7;6}{a;;;;;;;a;a;;;a;a;a;a;;;;a;a;a;a;a;;a;a;a;a;a;a;a;a;a;a;a;a;a;;;;;}"
shape-circle;me;1;circle;monodirectional;200;9.14894e-01;4.54545e-01;8;0;"{11;7}{;;;;a;;a;a;;;;;;;;a;;a;a;a;a;;;;;a;a;a;a;a;a;a;;;;;a;a;a;a;a;a;a;a;;a;a;a;a;a;a;a;;;;a;a;a;a;a;a;a;a;;;;a;a;a;a;a;;;;;;}"
shape-circle;me;1;circle;monodirectional;200;9.44444e-01;3.33333e-01;8;0;"{8;7}{;;;a;;a;;;;;a;a;;a;a;;;a;a;a;a;a;a;a;;a;a;a;a;a;a;;a;a;a;a;a;a;a;;a;a;a;a;a;;;;a;a;a;;;;;}"
shape-dog;me;1;dog;monodirectional;200;8.82353e-01;5.00000e-01;7;0;"{9;7}{;;;;;;;;a;;;;;;a;;a;a;;;;;;a;a;a;a;;a;a;a;;a;a;a;;a;a;a;a;;a;a;a;;a;a;a;a;a;a;a;a;;a;;;;;;;;}"
shape-dog;me;1;dog;monodirectional;200;8.14815e-01;3.33333e-01;6;0;"{8;6}{;a;;;;;a;;;a;;;;a;a;a;a;a;;;;a;a;;a;a;a;a;;a;;;a;a;a;a;a;a;;;a;;;;;;;}"
shape-circle;me;1;circle;monodirectional;200;8.46154e-01;1.66667e-01;6;0;"{11;10}{;;;;;;a;;;;;;;;;;;a;a;;;;;;;;;;a;;;;;;;;;;a;a;;;;;;;;;;a;a;a;a;;;;;;;;a;a;a;a;a;;;;a;;;a;a;a;a;a;;a;;a;;a;a;a;a;a;;;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;;;;;;}"
shape-dog;me;1;dog;monodirectional;200;9.20000e-01;1.66667e-01;8;0;"{6;5}{;a;;;;a;;a;;a;a;a;a;a;;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a}"
shape-circle;me;1;circle;monodirectional;200;9.05660e-01;1.00000e-01;8;0;"{9;10}{;;;a;;;;;;;;;a;a;;;;;;;a;a;;a;;;;;;a;a;a;a;;;;;a;a;a;a;a;;;;a;a;a;a;a;a;a;a;;a;a;a;a;a;a;a;a;a;a;;;a;a;a;a;;;a;a;;a;a;a;;;;a;a;a;a;a;a;;;}"
shape-dog;me;1;dog;monodirectional;200;8.83721e-01;2.72727e-01;7;0;"{8;8}{;;a;;;;;a;;;a;;;;a;a;;;a;a;a;;a;a;;a;a;a;a;;a;a;;a;;a;a;a;a;a;a;a;;a;a;a;a;a;a;a;a;a;a;a;a;a;a;;;;;;;}"
shape-circle;me;1;circle;monodirectional;200;8.90625e-01;3.07692e-01;7;0;"{9;10}{;;;;a;;;;a;;a;a;a;a;;a;a;a;a;a;a;a;a;;a;a;a;a;a;a;a;a;;a;a;;a;a;a;a;a;a;a;;;a;a;a;;a;a;a;;;a;a;;a;a;a;a;a;a;a;a;a;a;a;a;;;;a;a;a;a;;;;;;a;a;;;;;;;}"
shape-dog;me;1;dog;monodirectional;200;7.31707e-01;2.22222e-01;4;0;"{9;7}{;;a;;;;a;;;;;a;;;;a;a;;;;a;;;;a;a;a;;;a;a;a;;a;;;;;a;;;a;a;a;;;a;a;;a;a;a;a;a;a;a;a;a;a;a;;;}"
shape-circle;me;1;circle;monodirectional;200;8.04878e-01;2.22222e-01;6;0;"{8;7}{;;a;;;;;;a;a;a;a;;;a;a;a;a;a;;;;a;a;a;a;;a;;a;a;a;a;;a;a;;a;a;;a;a;a;a;a;a;a;a;a;a;;;;;;}"
shape-dog;me;1;dog;monodirectional;200;8.33333e-01;1.42857e-01;6;0;"{7;6}{;a;;;;;;;a;a;;;;;;a;a;;;;;;a;;;a;a;a;a;a;a;;a;a;;a;a;a;a;a;a;}"
shape-circle;me;1;circle;monodirectional;200;8.80952e-01;2.00000e-01;7;0;"{9;8}{a;;;;;;;;;a;a;;;;;;;;a;a;a;;;;a;;;a;;;;a;a;a;a;;a;a;a;a;a;;a;;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;;;a;a;;;;;;;}"
shape-dog;me;1;dog;monodirectional;200;7.50000e-01;3.33333e-01;5;0;"{7;7}{;;;;;a;;;;;;;a;;;a;;;;a;;;a;;;a;a;a;;a;;;a;a;a;a;a;;a;a;;;a;a;a;a;a;;}"
shape-circle;me;1;circle;monodirectional;200;9.72973e-01;3.00000e-01;9;0;"{7;10}{;;a;;;;;;;a;;;;;;;a;;;;;;;a;a;;;;;;a;a;a;;;;;a;a;a;a;;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;a;;a;a;a;a;;;}"
shape-dog;me;1;dog;monodirectional;200;9.28571e-01;5.00000e-01;8;0;"{7;8}{;;;;;;a;;;;;;;a;;;;;;;a;;;;;;a;a;;a;;a;a;a;a;a;a;;a;a;a;a;a;a;a;a;a;a;;a;a;a;a;;;}"
