x	y	progress.rate.q.0.05.0.00.quality	progress.rate.q.0.05.0.10.quality	progress.rate.q.0.05.0.25.quality	progress.rate.q.0.05.0.50.quality	progress.rate.q.0.05.1.00.quality
0	0	nan	nan	nan	nan	nan
0	1	nan	nan	nan	nan	nan
0	2	nan	nan	nan	nan	nan
0	3	nan	nan	nan	nan	nan
0	4	nan	nan	nan	nan	nan
0	5	nan	nan	nan	nan	nan
0	6	nan	nan	nan	nan	nan
0	7	nan	nan	nan	nan	nan
0	8	nan	nan	nan	nan	nan
0	9	nan	nan	nan	nan	nan
1	0	nan	nan	nan	nan	nan
1	1	nan	nan	nan	nan	nan
1	2	nan	nan	nan	nan	nan
1	3	nan	nan	nan	nan	nan
1	4	nan	nan	nan	nan	nan
1	5	nan	nan	nan	nan	nan
1	6	nan	nan	nan	nan	nan
1	7	nan	nan	nan	nan	nan
1	8	nan	nan	nan	nan	nan
1	9	nan	nan	nan	nan	nan
2	0	nan	nan	nan	nan	nan
2	1	nan	nan	nan	nan	nan
2	2	nan	nan	nan	nan	nan
2	3	nan	nan	nan	nan	nan
2	4	nan	nan	nan	nan	nan
2	5	nan	nan	nan	nan	nan
2	6	nan	nan	nan	nan	nan
2	7	nan	nan	nan	nan	nan
2	8	nan	nan	nan	nan	nan
2	9	nan	nan	nan	nan	nan
3	0	nan	nan	nan	nan	nan
3	1	nan	nan	nan	7.778e-01	7.778e-01
3	2	nan	nan	nan	nan	7.917e-01
3	3	nan	nan	nan	nan	8.056e-01
3	4	nan	nan	nan	nan	7.500e-01
3	5	nan	nan	nan	nan	nan
3	6	nan	nan	nan	nan	nan
3	7	nan	nan	nan	nan	nan
3	8	nan	nan	nan	nan	nan
3	9	nan	nan	nan	nan	nan
4	0	nan	nan	nan	nan	nan
4	1	nan	nan	8.472e-01	7.361e-01	6.944e-01
4	2	nan	nan	8.056e-01	6.944e-01	6.944e-01
4	3	nan	nan	nan	nan	7.222e-01
4	4	nan	7.917e-01	7.917e-01	7.222e-01	7.222e-01
4	5	nan	nan	nan	8.194e-01	8.194e-01
4	6	nan	nan	nan	nan	9.028e-01
4	7	nan	nan	nan	9.444e-01	9.444e-01
4	8	nan	nan	nan	nan	nan
4	9	nan	nan	nan	nan	nan
5	0	nan	nan	nan	9.028e-01	9.028e-01
5	1	8.611e-01	7.639e-01	7.361e-01	7.361e-01	6.667e-01
5	2	nan	7.639e-01	7.361e-01	7.222e-01	5.694e-01
5	3	nan	6.389e-01	6.389e-01	6.389e-01	6.389e-01
5	4	nan	8.472e-01	8.472e-01	7.361e-01	7.222e-01
5	5	nan	7.639e-01	6.389e-01	6.389e-01	6.389e-01
5	6	nan	8.194e-01	8.194e-01	8.194e-01	8.056e-01
5	7	nan	nan	nan	nan	nan
5	8	nan	nan	nan	nan	nan
5	9	nan	nan	nan	nan	nan
6	0	nan	nan	nan	nan	7.083e-01
6	1	nan	6.667e-01	6.667e-01	5.972e-01	5.972e-01
6	2	7.500e-01	7.361e-01	6.944e-01	6.806e-01	6.111e-01
6	3	7.083e-01	7.083e-01	5.833e-01	5.833e-01	5.833e-01
6	4	7.917e-01	6.667e-01	6.389e-01	6.389e-01	6.389e-01
6	5	nan	6.806e-01	6.806e-01	6.806e-01	6.806e-01
6	6	nan	8.194e-01	8.056e-01	7.917e-01	7.778e-01
6	7	nan	nan	nan	8.750e-01	8.333e-01
6	8	nan	nan	nan	nan	nan
6	9	nan	nan	nan	nan	nan
7	0	nan	nan	8.889e-01	8.889e-01	5.417e-01
7	1	nan	6.389e-01	6.389e-01	6.250e-01	6.250e-01
7	2	9.028e-01	7.222e-01	6.667e-01	6.389e-01	6.389e-01
7	3	7.917e-01	6.111e-01	6.111e-01	6.111e-01	5.694e-01
7	4	7.500e-01	6.528e-01	6.528e-01	6.528e-01	6.528e-01
7	5	9.167e-01	6.944e-01	6.944e-01	5.833e-01	5.833e-01
7	6	7.361e-01	7.361e-01	7.361e-01	6.528e-01	6.528e-01
7	7	nan	7.917e-01	7.917e-01	7.917e-01	7.917e-01
7	8	nan	nan	1.333e+00	1.333e+00	1.333e+00
7	9	nan	nan	nan	nan	nan
8	0	nan	nan	nan	7.639e-01	7.639e-01
8	1	nan	6.667e-01	6.528e-01	6.528e-01	5.694e-01
8	2	nan	7.083e-01	6.250e-01	6.250e-01	6.111e-01
8	3	7.639e-01	6.667e-01	6.111e-01	6.111e-01	6.111e-01
8	4	8.750e-01	7.361e-01	5.972e-01	5.972e-01	5.972e-01
8	5	6.806e-01	6.806e-01	6.806e-01	6.667e-01	6.250e-01
8	6	nan	7.917e-01	7.222e-01	7.222e-01	7.222e-01
8	7	nan	8.611e-01	6.667e-01	6.667e-01	6.667e-01
8	8	nan	9.722e-01	9.306e-01	8.611e-01	8.611e-01
8	9	nan	nan	nan	nan	nan
9	0	9.583e-01	6.944e-01	6.944e-01	6.944e-01	6.944e-01
9	1	8.611e-01	6.806e-01	6.111e-01	6.111e-01	6.111e-01
9	2	8.889e-01	6.528e-01	6.528e-01	5.972e-01	5.972e-01
9	3	9.444e-01	6.944e-01	6.389e-01	6.389e-01	6.250e-01
9	4	8.611e-01	6.806e-01	6.806e-01	6.389e-01	6.389e-01
9	5	6.944e-01	6.806e-01	6.806e-01	6.667e-01	6.667e-01
9	6	9.028e-01	7.500e-01	7.500e-01	7.222e-01	7.222e-01
9	7	nan	8.472e-01	8.056e-01	7.917e-01	7.639e-01
9	8	nan	9.167e-01	8.750e-01	8.333e-01	8.333e-01
9	9	nan	nan	9.444e-01	9.444e-01	9.444e-01
