x	y	progress.rate.q.0.05.0.00.quality	progress.rate.q.0.05.0.10.quality	progress.rate.q.0.05.0.25.quality	progress.rate.q.0.05.0.50.quality	progress.rate.q.0.05.1.00.quality
0	0	nan	nan	nan	nan	nan
0	1	nan	nan	nan	nan	nan
0	2	nan	nan	nan	nan	nan
0	3	nan	nan	nan	nan	nan
0	4	nan	nan	nan	nan	nan
0	5	nan	nan	nan	nan	nan
0	6	nan	nan	nan	nan	nan
0	7	nan	nan	nan	nan	nan
0	8	nan	nan	nan	nan	nan
0	9	nan	nan	nan	nan	nan
1	0	nan	nan	nan	nan	nan
1	1	nan	nan	nan	nan	nan
1	2	nan	nan	nan	nan	nan
1	3	nan	nan	nan	nan	nan
1	4	nan	nan	nan	nan	nan
1	5	nan	nan	nan	nan	nan
1	6	nan	nan	nan	nan	nan
1	7	nan	nan	nan	nan	nan
1	8	nan	nan	nan	nan	nan
1	9	nan	nan	nan	nan	nan
2	0	nan	nan	nan	nan	nan
2	1	nan	nan	nan	nan	nan
2	2	nan	nan	nan	nan	nan
2	3	nan	nan	nan	nan	nan
2	4	nan	nan	nan	nan	nan
2	5	nan	nan	nan	nan	7.093e-01
2	6	nan	nan	9.531e-01	9.531e-01	9.531e-01
2	7	nan	nan	nan	nan	nan
2	8	nan	nan	nan	nan	nan
2	9	nan	nan	nan	nan	nan
3	0	nan	nan	nan	nan	nan
3	1	nan	nan	1.128e+00	1.125e+00	1.125e+00
3	2	nan	nan	nan	1.157e+00	1.132e+00
3	3	nan	nan	nan	9.535e-01	9.535e-01
3	4	nan	nan	nan	3.837e-01	3.837e-01
3	5	nan	nan	4.302e-01	4.302e-01	4.302e-01
3	6	nan	6.855e-01	6.855e-01	5.606e-01	5.085e-01
3	7	nan	nan	6.953e-01	6.406e-01	6.406e-01
3	8	nan	nan	nan	7.815e-01	7.815e-01
3	9	nan	nan	nan	nan	nan
4	0	nan	nan	nan	nan	1.161e+00
4	1	nan	nan	nan	1.157e+00	1.125e+00
4	2	nan	nan	1.051e+00	6.977e-01	3.488e-01
4	3	nan	nan	nan	2.447e-01	2.447e-01
4	4	nan	6.848e-01	2.667e-01	2.667e-01	2.667e-01
4	5	nan	5.465e-01	1.512e-01	1.512e-01	1.512e-01
4	6	nan	6.400e-01	6.400e-01	2.889e-01	2.000e-01
4	7	9.757e-01	6.575e-01	6.500e-01	5.789e-01	4.474e-01
4	8	nan	8.431e-01	7.637e-01	7.637e-01	7.257e-01
4	9	nan	nan	nan	nan	nan
5	0	nan	nan	nan	nan	nan
5	1	nan	nan	8.333e-01	8.333e-01	8.333e-01
5	2	nan	nan	1.039e+00	7.453e-01	4.186e-01
