n.evals.q.1.0.	locomotion.flat._.grid.all.percentile.quality.first.agent.velocity.x.100.quality.first.agent.velocity.x	locomotion.flat._.grid.all.percentile.quality.first.agent.velocity.x.100.quality.first.agent.velocity.x.min	locomotion.flat._.grid.all.percentile.quality.first.agent.velocity.x.100.quality.first.agent.velocity.x.max	locomotion.flat._.grammar.biped.all.percentile.quality.first.agent.velocity.x.100.quality.first.agent.velocity.x	locomotion.flat._.grammar.biped.all.percentile.quality.first.agent.velocity.x.100.quality.first.agent.velocity.x.min	locomotion.flat._.grammar.biped.all.percentile.quality.first.agent.velocity.x.100.quality.first.agent.velocity.x.max	locomotion.flat._.grammar.worm.all.percentile.quality.first.agent.velocity.x.100.quality.first.agent.velocity.x	locomotion.flat._.grammar.worm.all.percentile.quality.first.agent.velocity.x.100.quality.first.agent.velocity.x.min	locomotion.flat._.grammar.worm.all.percentile.quality.first.agent.velocity.x.100.quality.first.agent.velocity.x.max
1.000e+02	3.959e-01	3.175e-01	5.070e-01	4.625e-01	3.533e-01	5.243e-01	3.476e-01	2.670e-01	3.915e-01
2.000e+02	4.324e-01	3.811e-01	5.754e-01	5.013e-01	4.422e-01	6.968e-01	4.457e-01	3.787e-01	5.220e-01
3.000e+02	5.070e-01	3.991e-01	5.881e-01	5.721e-01	4.778e-01	7.470e-01	4.970e-01	4.588e-01	5.634e-01
4.000e+02	5.822e-01	4.823e-01	6.939e-01	7.020e-01	5.016e-01	7.735e-01	5.207e-01	4.816e-01	5.807e-01
5.000e+02	5.822e-01	5.304e-01	6.939e-01	7.212e-01	5.721e-01	7.955e-01	5.470e-01	4.896e-01	5.896e-01
6.000e+02	6.350e-01	5.532e-01	7.492e-01	7.389e-01	6.130e-01	8.020e-01	5.644e-01	4.896e-01	6.058e-01
7.000e+02	6.779e-01	5.597e-01	7.887e-01	7.471e-01	6.472e-01	8.572e-01	5.737e-01	4.896e-01	6.058e-01
8.000e+02	6.831e-01	5.721e-01	7.924e-01	7.471e-01	6.482e-01	8.572e-01	5.805e-01	5.199e-01	6.297e-01
9.000e+02	6.831e-01	5.721e-01	7.924e-01	7.505e-01	6.482e-01	8.572e-01	5.881e-01	5.199e-01	6.571e-01
1.000e+03	6.907e-01	5.721e-01	7.924e-01	7.505e-01	6.482e-01	8.572e-01	5.881e-01	5.199e-01	6.571e-01
1.100e+03	6.974e-01	5.804e-01	8.225e-01	7.838e-01	7.020e-01	9.189e-01	5.881e-01	5.199e-01	6.571e-01
1.200e+03	7.212e-01	5.804e-01	8.943e-01	7.850e-01	7.168e-01	9.580e-01	5.881e-01	5.220e-01	6.571e-01
1.300e+03	7.212e-01	6.350e-01	8.943e-01	7.955e-01	7.183e-01	9.580e-01	5.896e-01	5.220e-01	6.571e-01
1.400e+03	7.492e-01	6.350e-01	8.943e-01	8.425e-01	7.347e-01	9.901e-01	6.058e-01	5.349e-01	6.695e-01
1.500e+03	7.887e-01	6.414e-01	9.034e-01	8.572e-01	7.505e-01	1.029e+00	6.058e-01	5.349e-01	6.695e-01
1.600e+03	7.887e-01	6.414e-01	9.034e-01	8.572e-01	7.838e-01	1.029e+00	6.058e-01	5.349e-01	6.695e-01
1.700e+03	7.887e-01	6.414e-01	9.034e-01	9.162e-01	7.838e-01	1.029e+00	6.058e-01	5.349e-01	6.695e-01
1.800e+03	7.887e-01	6.524e-01	9.034e-01	9.162e-01	7.838e-01	1.029e+00	6.297e-01	5.634e-01	6.707e-01
1.900e+03	7.924e-01	6.561e-01	9.195e-01	9.162e-01	7.838e-01	1.119e+00	6.297e-01	5.668e-01	6.707e-01
2.000e+03	8.027e-01	6.939e-01	9.428e-01	9.162e-01	7.838e-01	1.119e+00	6.297e-01	5.668e-01	6.707e-01
2.100e+03	8.225e-01	6.939e-01	9.428e-01	9.162e-01	7.838e-01	1.119e+00	6.401e-01	5.714e-01	6.829e-01
2.200e+03	8.590e-01	7.028e-01	9.764e-01	9.189e-01	7.838e-01	1.119e+00	6.401e-01	5.714e-01	6.829e-01
2.300e+03	8.721e-01	7.028e-01	9.830e-01	9.189e-01	7.838e-01	1.119e+00	6.401e-01	5.714e-01	6.829e-01
2.400e+03	8.721e-01	7.028e-01	9.830e-01	9.189e-01	7.838e-01	1.119e+00	6.401e-01	5.896e-01	6.829e-01
2.500e+03	8.943e-01	7.410e-01	9.935e-01	9.189e-01	7.838e-01	1.119e+00	6.487e-01	6.031e-01	6.941e-01
2.600e+03	8.943e-01	7.410e-01	9.935e-01	9.189e-01	7.838e-01	1.119e+00	6.487e-01	6.031e-01	6.941e-01
2.700e+03	9.034e-01	7.539e-01	9.935e-01	9.189e-01	7.838e-01	1.119e+00	6.487e-01	6.031e-01	6.941e-01
2.800e+03	9.034e-01	7.539e-01	9.935e-01	9.297e-01	7.838e-01	1.119e+00	6.487e-01	6.031e-01	6.941e-01
